Product Name,Product URL,Image URL,Current Price (PKR),Original Price (PKR)
Men Peshawari-DARK/MAROON,https://www.borjan.com.pk/products/bm6905-dark-maroon-men-peshawari,"{'id': 40520122040495, 'created_at': '2025-04-10T12:33:11+05:00', 'position': 1, 'updated_at': '2025-04-24T18:32:34+05:00', 'product_id': 8181690826927, 'variant_ids': [44975543287983, 44975543320751, 44975543353519, 44975543386287, 44975543419055, 44975543451823], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/B03009896-DARK-MAROON.png?v=1745501554', 'width': 1000, 'height': 1148}",5800.0,5800.0
Men Sandal-OLIVE,https://www.borjan.com.pk/products/bm5590-olive-men-sandal,"{'id': 37720065147055, 'created_at': '2024-04-02T10:52:15+05:00', 'position': 1, 'updated_at': '2025-04-24T20:18:53+05:00', 'product_id': 7789728202927, 'variant_ids': [43437497581743, 43437497614511, 43437497647279, 43437497680047, 43437497712815, 43437497745583], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_d3bd054f-5634-4f97-9657-79d847c7845a.png?v=1745507933', 'width': 1000, 'height': 1148}",4620.0,6600.0
Men Sandal-BLACK,https://www.borjan.com.pk/products/bm5578-black-men-sandal,"{'id': 37566261526703, 'created_at': '2024-03-05T17:14:09+05:00', 'position': 1, 'updated_at': '2025-04-24T20:34:41+05:00', 'product_id': 7737738723503, 'variant_ids': [43251962511535, 43251962544303, 43251962577071, 43251962609839, 43251962642607, 43251962675375], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/BM5578.png?v=1745508881', 'width': 1000, 'height': 1148}",3570.0000000000005,5100.0
Men Sandal-BLACK,https://www.borjan.com.pk/products/bm5523-black-men-sandal,"{'id': 37570460549295, 'created_at': '2024-03-06T16:38:43+05:00', 'position': 1, 'updated_at': '2025-04-24T20:31:28+05:00', 'product_id': 7751907999919, 'variant_ids': [43303922139311, 43303922172079, 43303922204847, 43303922237615, 43303922270383, 43303922303151], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0b5184d9-d44e-40e8-94ee-2b9fc1dcf1df.png?v=1745508688', 'width': 1000, 'height': 1148}",2940.0,4200.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5522-espresso-men-sandal,"{'id': 37570470707375, 'created_at': '2024-03-06T16:40:35+05:00', 'position': 1, 'updated_at': '2025-04-24T20:31:29+05:00', 'product_id': 7751907934383, 'variant_ids': [43303921844399, 43303921877167, 43303921909935, 43303921942703, 43303921975471, 43303922008239], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_cdfe4aeb-1f82-4d73-a31f-3fff7cb73c33.png?v=1745508689', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Sandal-BROWN,https://www.borjan.com.pk/products/bm5522-brown-men-sandal,"{'id': 37587676627119, 'created_at': '2024-03-09T10:04:48+05:00', 'position': 1, 'updated_at': '2025-04-24T20:30:25+05:00', 'product_id': 7754858627247, 'variant_ids': [43315136233647, 43315136266415, 43315136299183, 43315136331951, 43315136364719, 43315136397487], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0520e0d0-dc56-4596-8e51-1774476ea850.png?v=1745508625', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5578-espresso-men-sandal,"{'id': 37514186490031, 'created_at': '2024-02-26T15:31:42+05:00', 'position': 1, 'updated_at': '2025-04-24T20:34:43+05:00', 'product_id': 7737177505967, 'variant_ids': [43250700484783, 43250700550319, 43250700615855, 43250700714159, 43250700746927, 43250700779695], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_0545d599-eac4-4e79-916d-89deee4b6b71.png?v=1745508883', 'width': 1000, 'height': 1148}",3570.0000000000005,5100.0
Men Sandal-BROWN,https://www.borjan.com.pk/products/bm5491-brown-men-sandal,"{'id': 37704814690479, 'created_at': '2024-03-30T15:00:40+05:00', 'position': 1, 'updated_at': '2025-04-24T20:21:15+05:00', 'product_id': 7783548485807, 'variant_ids': [43418925236399, 43418925269167, 43418925301935, 43418925334703, 43418925367471, 43418925400239, 43418925433007], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_eb9cb43f-7d74-4c81-9280-ffc3fd665c4d.png?v=1745508075', 'width': 1000, 'height': 1148}",3080.0,4400.0
Men Sandal-ESPEROSO,https://www.borjan.com.pk/products/bm5587-esperoso-men-sandal,"{'id': 37928568881327, 'created_at': '2024-04-26T14:54:29+05:00', 'position': 1, 'updated_at': '2025-04-24T20:13:24+05:00', 'product_id': 7804443820207, 'variant_ids': [], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_375f96fe-cee3-4e5e-b707-472a7a771553.png?v=1745507604', 'width': 1000, 'height': 1148}",3220.0000000000005,4600.0
Men Sandal-BEIGE,https://www.borjan.com.pk/products/bm4837-beige-men-sandal,"{'id': 37540052959407, 'created_at': '2024-03-01T16:10:45+05:00', 'position': 1, 'updated_at': '2025-04-24T20:33:17+05:00', 'product_id': 7741498720431, 'variant_ids': [43272525316271, 43272525349039, 43272525381807, 43272525414575, 43272525447343, 43272525480111, 43272525512879], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_b7b26fa6-fbf5-4c2c-bebc-4d616af06c8a.png?v=1745508797', 'width': 1000, 'height': 1148}",2940.0,4200.0
Men Sandal-ESPREESO,https://www.borjan.com.pk/products/bm5586-espreeso-men-sandal,"{'id': 37838351827119, 'created_at': '2024-04-16T12:07:00+05:00', 'position': 1, 'updated_at': '2025-04-24T20:13:25+05:00', 'product_id': 7804443459759, 'variant_ids': [43501040730287, 43501040763055, 43501040795823, 43501040828591, 43501040894127, 43501040926895], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_70dd66f0-a19a-4280-9f2c-2a2d7288a775.png?v=1745507605', 'width': 1000, 'height': 1148}",3220.0000000000005,4600.0
Men Sandal-ESPRESSO,https://www.borjan.com.pk/products/bm5576-espresso-men-sandal,"{'id': 37912484151471, 'created_at': '2024-04-24T16:26:09+05:00', 'position': 1, 'updated_at': '2025-04-24T20:09:16+05:00', 'product_id': 7861735784623, 'variant_ids': [43649001586863, 43649001619631, 43649001652399, 43649001685167, 43649001717935, 43649001750703], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_592a813e-e0b2-490e-b92a-d010ca83926f.png?v=1745507356', 'width': 1000, 'height': 1148}",3220.0000000000005,4800.0
Men Casual Sandal-BROWN,https://www.borjan.com.pk/products/bm5731-brown-men-casual-sandal,"{'id': 37485907083439, 'created_at': '2024-02-21T15:43:11+05:00', 'position': 1, 'updated_at': '2025-04-24T20:37:10+05:00', 'product_id': 7730167447727, 'variant_ids': [43227124498607, 43227124531375, 43227124564143, 43227124596911, 43227124629679, 43227124662447, 43227124695215], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_204b1f60-e22e-454b-9e05-41c49624a265.png?v=1745509030', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Sandal-BLACK,https://www.borjan.com.pk/products/bm5489-black-men-sandal,"{'id': 37623224271023, 'created_at': '2024-03-16T10:55:09+05:00', 'position': 1, 'updated_at': '2025-04-24T20:27:01+05:00', 'product_id': 7762743951535, 'variant_ids': [43345369596079, 43345369628847, 43345369661615, 43345369694383, 43345369727151, 43345369759919, 43345369792687], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_413ba4fe-02d2-4a6a-a657-1e6896692a02.png?v=1745508421', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Peshawari-BLACK,https://www.borjan.com.pk/products/bm5622-black-men-peshawari,"{'id': 37689033293999, 'created_at': '2024-03-28T17:08:21+05:00', 'position': 1, 'updated_at': '2025-04-24T20:22:33+05:00', 'product_id': 7777816248495, 'variant_ids': [43401911435439, 43401911468207, 43401911533743, 43401911566511, 43401911599279, 43401911632047], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_7d60ed52-419f-4071-93a1-8844a9bb9cb5.png?v=1745508153', 'width': 1000, 'height': 1148}",2940.0,4200.0
Men Peshawari Chappal-TAN,https://www.borjan.com.pk/products/bm5580-tan-men-peshawari-chappal,"{'id': 37608360706223, 'created_at': '2024-03-13T10:03:48+05:00', 'position': 1, 'updated_at': '2025-04-24T20:29:54+05:00', 'product_id': 7756840796335, 'variant_ids': [43324084748463, 43324084781231, 43324084813999, 43324084846767, 43324084879535, 43324084912303], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_d6bf2aa1-04d4-4f56-923b-be9699792330.png?v=1745508594', 'width': 1000, 'height': 1148}",2170.0,3100.0
Men Peshawari Chappal-BROWN,https://www.borjan.com.pk/products/bm5618-brown-men-peshawari-chappal,"{'id': 37624356995247, 'created_at': '2024-03-16T15:39:14+05:00', 'position': 1, 'updated_at': '2025-04-24T20:27:09+05:00', 'product_id': 7762743427247, 'variant_ids': [43345367433391, 43345367466159, 43345367498927, 43345367531695, 43345367564463, 43345367597231], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_2165dbfe-1a64-4902-912e-23a05ef280fe.png?v=1745508429', 'width': 1000, 'height': 1148}",2310.0,3300.0
Men Peshawari Chappal-BLACK,https://www.borjan.com.pk/products/bm5618-black-men-peshawari-chappal,"{'id': 37546450256047, 'created_at': '2024-03-02T12:26:38+05:00', 'position': 1, 'updated_at': '2025-04-24T20:32:20+05:00', 'product_id': 7741615112367, 'variant_ids': [43273416704175, 43273416736943, 43273416769711, 43273416802479, 43273416835247, 43273416868015], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_9538852f-9f0c-4e5c-bd64-7dde3254db70.png?v=1745508740', 'width': 1000, 'height': 1148}",2310.0,3300.0
Men Peshawari-BLACK,https://www.borjan.com.pk/products/bm5504-black-men-peshawari,"{'id': 37512302624943, 'created_at': '2024-02-26T11:44:34+05:00', 'position': 1, 'updated_at': '2025-04-24T20:35:38+05:00', 'product_id': 7736482169007, 'variant_ids': [43247978709167, 43247978741935, 43247978774703, 43247978807471, 43247978840239, 43247978873007], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_a6ae8aad-c0db-452c-a346-77de4dee9876.png?v=1745508938', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Peshawari-BROWN,https://www.borjan.com.pk/products/bm5504-brown-men-peshawari,"{'id': 37512310161583, 'created_at': '2024-02-26T11:45:47+05:00', 'position': 1, 'updated_at': '2025-04-24T20:36:51+05:00', 'product_id': 7731553599663, 'variant_ids': [43233423556783, 43233423589551, 43233423622319, 43233423655087, 43233423687855, 43233423720623], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_3ab5a25d-dc24-4511-95ad-b95579f8817c.png?v=1745509011', 'width': 1000, 'height': 1148}",3290.0,4700.0
Men Peshawari-TAN,https://www.borjan.com.pk/products/bm5479-tan-men-peshawari,"{'id': 37609065578671, 'created_at': '2024-03-13T11:14:44+05:00', 'position': 1, 'updated_at': '2025-04-24T20:29:31+05:00', 'product_id': 7756841582767, 'variant_ids': [43324087959727, 43324087992495, 43324088025263, 43324088058031, 43324088090799, 43324088123567], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_2fd0bfb6-2a6d-4453-8fb7-c9523b55658c.png?v=1745508571', 'width': 1000, 'height': 1148}",4480.0,6400.0
Men Peshawari-BLACK,https://www.borjan.com.pk/products/bm5607-black-men-peshawari,"{'id': 37741313425583, 'created_at': '2024-04-05T09:57:56+05:00', 'position': 1, 'updated_at': '2025-04-24T20:15:41+05:00', 'product_id': 7792379789487, 'variant_ids': [43455270748335, 43455270781103, 43455270813871, 43455270846639, 43455270879407, 43455270912175], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_f044be1b-4592-4ca8-aef9-925d6a1abaa2.png?v=1745507741', 'width': 1000, 'height': 1148}",6370.0,9100.0
Men Peshawari-BLACK,https://www.borjan.com.pk/products/bm4610-black-men-peshawari,"{'id': 36038891897007, 'created_at': '2023-03-09T11:13:41+05:00', 'position': 1, 'updated_at': '2025-04-24T20:54:24+05:00', 'product_id': 7474616205487, 'variant_ids': [42358083158191, 42358083190959, 42358083223727, 42358083256495, 42358083322031, 42358083354799, 42358083387567], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/products/1_1426b320-86e3-4a03-9877-fe5036cae5e0.png?v=1745510064', 'width': 1000, 'height': 1148}",2030.0,3000.0
Women Slipper-LILAC,https://www.borjan.com.pk/products/bw9462-lilac-women-slipper,"{'id': 37539959603375, 'created_at': '2024-03-01T15:48:35+05:00', 'position': 1, 'updated_at': '2025-04-24T20:33:12+05:00', 'product_id': 7741498851503, 'variant_ids': [43272526364847, 43272526397615, 43272526430383, 43272526463151, 43272526495919, 43272526528687, 43272526561455], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_e27f3c9f-b69f-4f1a-805b-9a9f92aa6fe9.png?v=1745508792', 'width': 1000, 'height': 1148}",1680.0,2400.0
Women Slipper-BLACK,https://www.borjan.com.pk/products/bw9428-black-women-slipper,"{'id': 37533472391343, 'created_at': '2024-02-29T17:16:12+05:00', 'position': 1, 'updated_at': '2025-04-24T20:33:41+05:00', 'product_id': 7739588182191, 'variant_ids': [43268359717039, 43268359749807, 43268359782575, 43268359815343, 43268359848111, 43268359880879, 43268359913647], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_1905e7b4-4803-44cd-985b-5b1e6fac5f46.png?v=1745508821', 'width': 1000, 'height': 1148}",1610.0000000000002,2400.0
Women Formal Slipper-ROSE GOLD,https://www.borjan.com.pk/products/bw9626-rose-gold-women-formal-slipper,"{'id': 37512351678639, 'created_at': '2024-02-26T11:54:26+05:00', 'position': 1, 'updated_at': '2025-04-24T20:36:54+05:00', 'product_id': 7731553566895, 'variant_ids': [43233423130799, 43233423163567, 43233423196335, 43233423229103, 43233423261871, 43233423294639, 43233423327407], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_74f44902-3e42-4877-9ee2-79a9d78679bf.png?v=1745509014', 'width': 1000, 'height': 1148}",2030.0,2900.0
Women Casual Slipper-NAVY,https://www.borjan.com.pk/products/bw9318-navy-women-casual-slipper,"{'id': 37461491810479, 'created_at': '2024-02-16T17:54:55+05:00', 'position': 1, 'updated_at': '2025-04-24T20:38:22+05:00', 'product_id': 7726263730351, 'variant_ids': [43213165920431, 43213165953199, 43213165985967, 43213166018735, 43213166051503, 43213166084271], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_86a04c73-92ba-44ae-a127-d72fdd764d74.png?v=1745509102', 'width': 1000, 'height': 1148}",2240.0,3200.0
Women Slipper-Tan,https://www.borjan.com.pk/products/bw9285-tan-women-slipper,"{'id': 37587720831151, 'created_at': '2024-03-09T10:26:11+05:00', 'position': 1, 'updated_at': '2025-04-24T20:30:15+05:00', 'product_id': 7754859020463, 'variant_ids': [43315138658479, 43315138691247, 43315138724015, 43315138756783, 43315138789551, 43315138822319, 43315138855087], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_9e87b342-c158-4818-b177-833d6151347e.png?v=1745508615', 'width': 1000, 'height': 1148}",2030.0,2900.0
Women Casual Slipper-PINK,https://www.borjan.com.pk/products/bw9299-pink-women-casual-slipper,"{'id': 37439391596719, 'created_at': '2024-02-12T14:19:40+05:00', 'position': 1, 'updated_at': '2025-04-24T20:40:45+05:00', 'product_id': 7723126718639, 'variant_ids': [43200446529711, 43200446562479, 43200446595247, 43200446628015, 43200446660783, 43200446693551], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_87ea6910-35b0-4fad-a3a9-5fdc1c932a86.png?v=1745509245', 'width': 1000, 'height': 1148}",2520.0,3600.0
Women Slipper-PEACH,https://www.borjan.com.pk/products/bw9459-peach-women-slipper,"{'id': 37570523857071, 'created_at': '2024-03-06T16:51:10+05:00', 'position': 1, 'updated_at': '2025-04-24T20:31:32+05:00', 'product_id': 7751907836079, 'variant_ids': [43303921320111, 43303921352879, 43303921385647, 43303921418415, 43303921451183, 43303921483951, 43303921516719], 'src': 'https://cdn.shopify.com/s/files/1/0083/8405/3305/files/1_4bbbc543-d2b0-4bd7-b8eb-faae7aaa59fb.png?v=1745508692', 'width': 1000, 'height': 1148}",1889.9999999999998,2700.0
